PressurePeak	ForcePeak	DataType
2.107241	199.0670267	Model
2.245777	227.8509025	Model
2.297325	248.065669	Model
2.338563	271.1282875	Model
2.387211	263.6494322	Model
2.176187	204.5201197	Model
2.272839	253.178079	Model
2.276705	261.275549	Model
2.443592	310.0623767	Model
2.677491	392.2330265	Model
2.292814	262.5328305	Model
2.594047	362.6031179	Model
2.739348	357.4867356	Model
2.877561	425.2896839	Model
2.884005	434.6185803	Model
2.770599	365.4824516	Model
2.844055	447.7190932	Model
2.895925	454.8493895	Model
2.743859	495.8962879	Model
2.804105	414.8425926	Model
2.379479	276.4316561	Model
2.584704	336.7968375	Model
2.443592	295.8820731	Model
2.634964	363.7645045	Model
2.468399	315.1821387	Model
2.620466	358.7453883	Model
2.557642	347.7427412	Model
2.748047	392.1003065	Model
2.730005	405.7936489	Model
2.822791	488.8469503	Model
2.477742	294.764832	Model
2.395588	276.7065344	Model
2.504161	319.257997	Model
2.548943	356.2311216	Model
2.557642	343.6882246	Model
2.780909	396.167124	Model
2.782197	429.0816498	Model
2.87144	396.0466418	Model
2.774787	436.7053026	Model
2.541533	293.6090712	Model
2.458412	325.4222958	Model
2.665248	367.6804216	Model
2.073413	158.5480033	Model
2.040229	135.6835998	Model
2.744181	396.1879439	Model
2.813126	416.4309491	Model
2.823436	424.5373412	Model
2.633031	344.9710166	Model
2.781231	410.1354384	Model
2.93813	448.3460406	Model
2.704553	392.5810545	Model
2.604679	398.7584427	Model
2.688445	371.6559982	Model
2.909134	468.5860615	Model
2.986456	533.2963006	Model
2.982268	528.7301199	Model
2.812804	506.6424846	Model
2.204538	155.9710598	Model
2.787674	429.4746347	Model
2.954561	425.963789	Model
2.57955	402.0761641	Model
2.881749	476.9442291	Model
2.991933	472.4237719	Model
3.021895	523.5556023	Model
3.051213	520.7671011	Model
3.057979	508.0503726	Model
2.898503	514.1309547	Model
2.999021	568.7649257	Model
2.841155	467.2510582	Model
3.158175	592.1878711	Model
2.681035	351.4661135	Model
2.753202	427.2190609	Model
2.760934	424.6378074	Model
2.835356	439.6842157	Model
2.835678	471.3428456	Model
2.892059	439.3308184	Model
2.827624	454.0962577	Model
2.955205	448.2198254	Model
2.561508	253.1979706	Model
3.124347	538.1114598	Model
2.515115	310.7903926	Model
2.60629	343.9870941	Model
2.770921	416.6510421	Model
2.945218	459.3169284	Model
2.980657	490.1609401	Model
3.05669	517.5296011	Model
2.959716	483.2788255	Model
2.989356	487.3921126	Model
3.11436	542.282528	Model
3.33215	609.8854338	Model
2.579872	385.4004381	Model
2.878206	472.3851951	Model
3.076987	545.2609287	Model
2.904946	585.4582818	Model
3.124347	600.8110209	Model
3.00482	515.4509353	Model
2.972281	440.8178395	Model
3.100506	545.7562423	Model
3.140134	610.5000668	Model
3.183305	566.3522456	Model
2.813126	492.2263773	Model
2.981301	535.2773348	Model
2.92782	538.0582827	Model
2.98549	523.6342453	Model
3.03446	549.1995003	Model
3.136912	612.3614657	Model
3.185882	627.0648268	Model
3.343426	652.5364419	Model
3.351802	679.8175607	Model
3.293489	637.1308272	Model
2.980657	500.3819388	Model
2.951339	485.5478632	Model
2.897214	449.9254301	Model
3.064745	504.0315288	Model
3.10405	565.1786945	Model
3.062167	561.098662	Model
3.212301	572.8568759	Model
3.064422	503.6651942	Model
3.091163	550.4627477	Model
3.177506	535.1155565	Model
2.738382	417.6147223	Model
3.051535	517.6082165	Model
3.175251	555.6907138	Model
3.28189	601.1400766	Model
3.270936	600.2615405	Model
3.457798	594.9911427	Model
3.052824	489.13608	Model
2.715507	335.9937139	Model
3.236142	572.8398904	Model
3.487438	603.2588237	Model
3.010297	502.0929646	Model
3.256761	582.7334286	Model
3.063456	515.0995469	Model
3.367267	622.9731406	Model
3.281568	591.9182071	Model
3.339882	622.5522369	Model
2.774787	304.9956528	Model
3.379509	611.3237063	Model
3.393041	655.6443807	Model
3.399484	657.8529684	Model
3.220033	623.6223607	Model
3.336982	685.7812732	Model
3.337627	711.0288342	Model
2.936519	450.8122802	Model
3.043481	467.4995231	Model
3.239686	660.1299804	Model
3.498714	695.52633	Model
3.337304	650.4016933	Model
3.521266	720.5747062	Model
3.612119	726.5148851	Model
2.999021	468.8037662	Model
3.143677	528.3817299	Model
3.31733	668.1570857	Model
3.100828	612.8807462	Model
3.344392	670.8937401	Model
3.342137	597.6558169	Model
3.353091	712.752656	Model
3.428802	711.5258803	Model
3.416559	636.0738424	Model
3.285112	729.1620654	Model
2.273484	225.2166116	Validation
3.04928	500.5742863	Validation
3.022218	538.3913762	Validation
3.207146	579.0820247	Validation
3.105339	513.5668057	Validation
2.556031	272.1201668	Validation
3.254183	686.0601751	Validation
3.419781	667.328783	Validation
2.114651	139.2862869	Validation
3.027372	482.1532206	Validation
2.791541	427.8446735	Validation
2.831168	375.6571934	Validation
2.96487	497.6304932	Validation
2.88336	458.4259131	Validation
2.803461	410.8270188	Validation
2.895281	458.9084304	Validation
2.770599	432.0556947	Validation
3.018029	539.8202322	Validation
3.356635	572.0557044	Validation
2.433604	235.8972176	Validation
