Trial,Force,Mass (core),R Acceleration (max),Impulse,Force_all,FP,Velocity,KE,EPA,PD,Participant,Technique
0,464.4340944,42,-32.85744741,0.6133,464.4340944,,2.708107528,3.498244724,,,1,freehand
1,427.1126576,164,-29.8840737,0.7618,427.1126576,,,2.992035456,,,1,freehand
2,364.4846097,79,-27.88346235,0.6223,364.4846097,,,1.665374684,87,9.1,1,freehand
3,,,,,,,,,,,1,freehand
4,345.3960441,85,-28.29759276,0.5101,345.3960441,,2.349904022,2.634017332,,,1,freehand
5,463.8680197,223,,,463.8680197,,,,,,1,freehand
6,192.9946916,11,-26.36913647,0.2511,192.9946916,,1.644022228,1.289239934,61,5.98,1,freehand
7,153.5493775,3,,0.176,153.5493775,,,,61,4.33,1,freehand
8,223.67243,37,-31.09619864,0.3118,223.67243,,1.892699988,1.708763418,60,11.13,1,freehand
9,221.8337843,22,,0.2622,221.8337843,,,,,,1,freehand
10,274.5664953,36,,0.468,274.5664953,,,,61,19.71,1,freehand
11,437.0079944,34,,0.6401,437.0079944,,1.892040132,1.707572166,80,11.12,1,freehand
12,343.8426298,59,-24.23262831,,343.8426298,,0.799682244,1.080900374,66,14.55,1,freehand
13,303.1247447,63,-21.27320281,0.4299,303.1247447,,1.578193681,1.188061656,65,14.3,1,freehand
14,392.3319746,131,-29.24126594,0.7592,392.3319746,,1.946878535,1.807990286,78,8.76,1,freehand
15,527.2069521,148,-28.69420357,0.754,527.2069521,,1.90858445,1.737565326,77,15.92,1,freehand
16,,113,,,,,,,,,1,freehand
17,254.4905901,39,-21.66545426,0.3679,254.4905901,,1.579051756,1.189353922,,,1,freehand
18,213.2110184,22,-25.16365328,0.3471,213.2110184,,1.656106435,1.308262425,66,4.66,1,freehand
19,167.9689239,9,-19.70228908,0.2154,167.9689239,,1.338668152,0.854799465,59,6.95,1,freehand
20,318.6764404,61,-21.56089846,0.4086,318.6764404,,1.523681325,1.107405481,60,12.68,1,freehand
21,176.7364995,16,-24.38219552,0.2299,176.7364995,,1.482936318,1.048970758,75,,1,freehand
22,248.132123,48,-19.95556218,0.2997,248.132123,,1.616099029,1.245817187,67,10.07,1,freehand
23,399.2609045,89,-25.79472868,0.6484,399.2609045,,1.856588004,1.64418037,64,10.98,1,freehand
24,164.7172855,20,-19.76851927,0.2216,164.7172855,,1.674977005,1.338246381,,10.06,1,freehand
25,235.4064126,80,-19.3333201,0.4206,235.4064126,,1.55718445,1.156640767,74,8.22,1,freehand
26,210.5254547,39,-18.16514834,0.3316,210.5254547,,1.195545175,0.681789583,,4.98,1,freehand
27,185.0784221,24,-18.02932095,0.2447,185.0784221,,1.375329756,0.902260734,64,6.11,1,freehand
28,174.7574321,30,,0.2637,174.7574321,,,,59,9.41,1,freehand
29,272.8726593,13,-17.7421931,,272.8726593,,1.357729088,0.879315288,69,1.74,1,freehand
30,135.8781928,10,,0.1664,135.8781928,,,,61,11.12,1,freehand
31,261.9855947,70,,0.4845,261.9855947,,1.602607292,1.225103013,,,1,freehand
32,239.0837041,53,-20.16902857,0.3569,239.0837041,,1.612629189,1.240473274,,,1,freehand
33,431.0707923,65,-21.86693803,0.6103,431.0707923,,1.20840547,0.696536283,69,12.65,1,freehand
34,193.5607663,11,-17.91184309,0.3361,193.5607663,,1.345392833,0.863409054,,,1,freehand
35,265.8033078,41,-17.91073536,0.3637,265.8033078,,1.150779259,0.631687714,,,1,freehand
36,294.9276319,58,-20.30579652,0.4572,294.9276319,,1.383108731,0.912496116,76,7.73,1,freehand
37,200.2044648,19,-19.41780952,0.2568,200.2044648,,1.306722835,0.814489219,,7.74,1,freehand
38,229.8948636,34,-12.77191193,0.3543,229.8948636,,,0,70,,1,freehand
39,261.41952,42,-20.03156905,0.3103,261.41952,,0.919230238,0.403057478,74,8.58,1,freehand
40,,,,,,,,,,,1,freehand
41,247.8468916,45,-22.81606726,0.3331,247.8468916,,1.400136772,0.935102682,,,1,freehand
42,371.1283081,27,-22.81606726,0.5861,371.1283081,,1.611666835,1.238993184,84,10.05,1,freehand
43,200.2044648,12,,0.2587,200.2044648,,,0,,,1,freehand
44,337.4797746,81,-21.92080952,0.4661,337.4797746,,1.509879757,1.087434493,,,1,freehand
45,242.1905327,46,,0.3101,242.1905327,,,,81,5.43,1,freehand
46,185.0784221,28,-17.66811261,0.2136,185.0784221,,1.196607315,0.683001545,,,1,freehand
47,167.547659,22,-15.14494435,0.1748,167.547659,,1.022196296,0.498410272,69,5.75,1,freehand
48,167.8285022,15,-16.33016984,0.2195,167.8285022,,1.142556683,0.622692864,,,1,freehand
49,160.7591507,11,-14.1103669,0.1988,160.7591507,,1.119982756,0.598330376,56,4.99,1,freehand
50,268.6292931,78,-23.74167513,0.3104,268.6292931,,1.564483674,1.167509572,,,1,freehand
51,,,,,,,,,,,1,freehand
52,183.380198,32,-16.54902547,0.2052,183.380198,,1.122401293,0.600917284,64,3.98,1,freehand
53,97.4246065,1,-16.67119703,0.057,97.4246065,,,,,,1,freehand
54,136.0186144,6,-14.43222462,0.1444,136.0186144,,1.007623805,0.484300834,,3.93,1,freehand
0,561.4215604,133,,5.6263,659.0509102,659.0509102,2.301295541,2.526173476,,,1,anvil
1,,,,,,,,,,,1,anvil
2,352.324974,2,-20.98897067,3.4837,466.9233399,466.9233399,1.610659629,1.237445058,,,1,anvil
3,330.2700014,30,-23.37702188,2.5895,311.8261449,311.8261449,1.855210654,1.641741734,55,9.08,1,anvil
4,293.2294078,37,-21.02102995,2.3243,297.4776822,297.4776822,1.682700607,1.350616596,52,16.81,1,anvil
5,336.2072035,61,-20.84814904,2.6818,293.6951313,293.6951313,1.732842411,1.432308326,55,14.45,1,anvil
6,244.4548316,8,-17.23079328,1.744,237.3725363,237.3725363,1.438256197,0.986713083,55,6.4,1,anvil
7,261.5599416,59,-22.69363109,2.4772,324.9378462,324.9378462,1.813049431,1.56796971,59,13.73,1,anvil
8,295.4893184,74,-21.43967653,2.7525,344.1982912,344.1982912,1.977679666,1.865650443,83,7.12,1,anvil
9,262.692091,55,-22.54060722,2.2743,286.8986111,286.8986111,1.79723277,1.540731765,55,14.45,1,anvil
10,260.4321804,16,-20.41499628,2.0886,266.6933554,266.6933554,1.848014902,1.62903088,67,7.87,1,anvil
11,304.2568941,11,-20.25553015,2.2469,272.8804885,272.8804885,1.778986646,1.509606494,59,4.75,1,anvil
12,289.6969261,66,-22.47546716,2.983,292.3707856,292.3707856,1.855889892,1.642944118,66,11.03,1,anvil
13,,95,,1.5562,156.3387298,,2.286210227,2.493163185,56,14.52,1,anvil
14,539.0813564,117,-22.69341366,4.6183,501.0845747,501.0845747,1.91135886,1.742620615,84,10.88,1,anvil
15,413.8208724,81,-20.82951958,3.5377,353.4761099,353.4761099,1.859576721,1.649478203,88,5.53,1,anvil
16,295.6341282,41,-21.56210239,2.436,283.6290723,283.6290723,1.665116623,1.322536577,78,6.29,1,anvil
17,278.6694398,17,-25.29007985,2.5157,250.3041649,250.3041649,1.51056073,1.088415605,56,10.28,1,anvil
18,341.1570661,16,-21.77791336,3.2328,390.2463353,390.2463353,1.740912923,1.445681013,,,1,anvil
19,331.5425724,26,-23.05808729,2.8642,303.0740813,303.0740813,1.712073427,1.398180215,,,1,anvil
20,377.4911633,22,-31.26088106,2.9823,312.835334,312.835334,1.994321978,1.897181712,,,1,anvil
21,494.4053365,55,-23.0347518,3.5896,440.7717067,440.7717067,1.911549436,1.742968135,,,1,anvil
22,439.2722932,91,-22.96088665,4.9587,530.7718626,530.7718626,1.846153896,1.625751567,,11.04,1,anvil
23,260.1469489,30,-16.52735515,1.8065,228.4898803,228.4898803,1.525613179,1.110215388,48,13.42,1,anvil
24,269.1953678,16,-17.7231517,1.6763,249.9996327,249.9996327,1.406793083,0.944014854,56,4.5,1,anvil
25,281.2101937,32,-17.90686368,2.2707,317.8413215,317.8413215,1.376893361,0.904313451,,11.52,1,anvil
26,265.6628862,23,-18.00328361,2.6304,307.2320795,307.2320795,1.545031155,1.138656845,70,8.47,1,anvil
27,306.9424578,22,-21.57717232,2.6141,310.6646244,310.6646244,,,59,8.53,1,anvil
28,473.2016701,115,-21.03738672,2.2471,321.488912,321.488912,1.798922366,1.543630042,66,16.62,1,anvil
29,539.6474311,72,-18.59338845,4.2258,616.5728405,616.5728405,1.504410893,1.079571268,86,3.54,1,anvil
