Trial,Force,Mass,Acceleration,velocity,Angular_acceleration,angular_velocity,Wrist_angle,FP,Force_all,KE,EPA,PD,Condition
0,,,,,,,,,,,,,Anvil_metal
1,477.7657994,55,-23.060352,1.73101,1854.47299,43.78933703,1.046468072,477.3764,,1.429280711,71,,Anvil_metal
2,417.6062249,217,-24.04640611,1.719123368,2413.365369,129.4039583,5.745214712,604.0718,,1.409718718,64,21.35,Anvil_metal
3,320.2591171,119,-20.30582094,1.250125867,2001.685461,86.27188237,3.57075361,254.0953,,0.745462604,59,18.4,Anvil_metal
4,334.7019332,61,-18.98415663,1.428382364,1936.37826,57.63855496,1.273347073,272.8844,,0.973211737,76,12.47,Anvil_metal
5,202.4415871,32,-15.31396652,1.145349449,2862.51991,108.918987,6.568389949,295.8253,,0.625740697,53,5.76,Anvil_metal
6,264.3071477,99,-16.14966173,1.165103486,1733.555019,60.69280401,1.838881966,235.5651,,0.647511346,71,11.03,Anvil_metal
7,180.8338409,56,-14.5139144,1.092428569,2047.209349,38.70755091,1.456795103,201.1159,,0.569251885,,11.15,Anvil_metal
8,303.5416528,103,-16.92787015,1.319336345,,,,372.9023,,0.830289283,74,9,Anvil_metal
9,,,,,,,,,,,,,Anvil_metal
10,287.2791887,24,-17.17769059,1.335201442,,,,477.2599,,0.850377899,,13.8,Anvil_metal
11,,,,,,,,,,,,,Anvil_metal
12,345.2781297,147,-19.72584629,1.700867008,,,,328.8786,,1.379936472,60,11.29,Anvil_metal
13,343.0034815,100,-18.25793719,1.397799907,,,,323.8209,,0.931983865,70,11.3,Anvil_metal
14,217.3390505,32,-17.01922871,1.424259922,4989.114493,99.46963428,7.95638005,278.198,,0.967602287,65,10.31,Anvil_metal
15,200.5082773,69,-18.33329285,1.440819599,,,,246.2187,,0.990233453,,,Anvil_metal
16,227.6879234,13,-17.58262211,1.419184471,1445.209277,173.2427688,8.285581713,270.5363,,0.960718336,,,Anvil_metal
17,249.067993,76,-16.66087739,1.378579465,1272.139731,26.70475147,0.94331446,274.4925,,0.906529599,62,16.34,Anvil_metal
18,320.6001025,106,-18.75514927,1.376627747,,,,382.9123,,0.903964586,62,13.79,Anvil_metal
19,,,,,,,,,,,,,Anvil_metal
20,226.095952,6,-19.05445874,1.49498302,345.7239886,16.68693085,0.883287088,217.9352,,1.066082708,,,Anvil_metal
21,,,,,,,,,,,,,Anvil_metal
22,279.7732731,80,-18.93696156,1.500105704,422.6197268,16.05710316,0.76192044,211.569,,1.073401267,76,9.23,Anvil_metal
23,423.7471398,46,-18.18277829,1.38964209,543.5472988,16.93150799,0.456765042,579.7661,,0.921137151,,,Anvil_metal
24,452.633125,47,-24.30214623,1.818029179,2947.092558,179.0031544,7.003841089,812.1812,,1.576594755,,,Anvil_metal
25,420.4491822,144,-20.544359,1.542116014,,,,403.3737,,1.134364099,56,11.59,Anvil_metal
26,336.1802427,100,-20.27724371,1.56094376,287.0256409,22.63530652,1.14618606,444.3935,,1.162232167,66,10.77,Anvil_metal
27,332.427285,105,-17.32904727,1.343681916,,,,289.2071,,0.861214481,64,14.4,Anvil_metal
28,225.9822902,84,-18.89593228,1.629303262,572.0103159,31.10408177,0.959440078,296.04,,1.26625809,,,Anvil_metal
29,274.428344,73,-18.73203537,1.476822654,369.9795808,25.94878814,0.945981129,299.3815,,1.040339457,59,,Anvil_metal
30,374.7324239,149,-19.9536817,1.54423667,280.3702595,5.939269738,0.289542284,310.3415,,1.137486108,62,12.98,Anvil_metal
31,357.4466505,117,-21.49022613,1.557760578,,,,264.2466,,1.157496795,63,15.2,Anvil_metal
